ID,first_name,last_name,sex,title,birth_date,birth_place,death_date,death_place
1,"Victoria","Hanover",F,"Queen of England","24 MAY 1819","Kensington,Palace,London,England","22 JAN 1901","Osborne House,Isle of Wight,England"
2,"Albert Augustus Charles","",M,"Prince","26 AUG 1819","Schloss Rosenau,Near Coburg,Germany","14 DEC 1861","Windsor Castle,Berkshire,England"
3,"Victoria Adelaide Mary","",F,"Princess Royal","21 NOV 1840","Buckingham,Palace,London,England","5 AUG 1901","Friedrichshof,Near,Kronberg,Taunus"
4,"Edward_VII","Wettin",M,"King of England","9 NOV 1841","Buckingham,Palace,London,England","6 MAY 1910","Buckingham,Palace,London,England"
5,"Alice Maud Mary","",F,"Princess","25 APR 1843","Buckingham,Palace,London,England","14 DEC 1878","Darmstadt,,,Germany"
6,"Alfred Ernest Albert","",M,"Prince","6 AUG 1844","Windsor Castle,Berkshire,England","30 JUL 1900","Schloss Rosenau,Near Coburg"
7,"Helena Augusta Victoria","",F,"Princess","25 MAY 1846","Buckingham,Palace,London,England","9 JUN 1923","Schomberg House,Pall Mall,London,England"
8,"Louise Caroline Alberta","",F,"Princess","18 MAR 1848","Buckingham,Palace,London,England","3 DEC 1939","Kensington,Palace,London,England"
9,"Arthur William Patrick","",M,"Prince","1 MAY 1850","Buckingham,Palace,London,England","16 JAN 1942","Bagshot Park,Surrey"
10,"Leopold George Duncan","",M,"Prince","7 APR 1853","Buckingham,Palace,London,England","28 MAR 1884","Cannes"
11,"Beatrice Mary Victoria","",F,"Princess","14 APR 1857","Buckingham,Palace,London,England","26 OCT 1944","Bantridge Park,Balcombe,Sussex,England"
12,"Alexandra of_Denmark "Alix"","",F,"Princess","1 DEC 1844","Yellow Palace,Copenhagen,Denmark","20 NOV 1925","Sandringham,,Norfolk,England"
13,"Albert Victor Christian","",M,"Duke","8 JAN 1864","Frogmore House,Windsor,Berkshire,England","14 JAN 1892","Sandringham,,Norfolk,England"
14,"George_V","Windsor",M,"King of England","3 JUN 1865","Marlborough Hse,London,England","20 JAN 1936","Sandringham,Norfolk,England"
15,"Louise Victoria Alexandra","",F,"Princess Royal","20 FEB 1867","Marlborough,House,London,England","4 JAN 1931","Portman Square,London,England"
16,"Victoria Alexandra Olga","",F,,"6 JUL 1868","Marlborough,House,London,England","3 DEC 1935","Coppins,Iver,Bucks,England"
17,"Maude Charlotte Mary","",F,"Princess","26 NOV 1869","Marlborough,House,London,England","20 NOV 1938","London,England"
18,"John Alexander","",M,,"6 APR 1871",,"7 APR 1871",
19,"George Victor of_Waldeck","",M,"Prince","1831",,"1889",
20,"Frederick_III","",M,"German Emperor","18 OCT 1831","Neues Palais,Potsdam,Germany","15 JUN 1888","Neues Palais,Potsdam,Germany"
21,"William_II","",M,"German Emperor","27 JAN 1859","Berlin,Germany","4 JUN 1941","Haus Doorn,Netherlands"
22,"Louis_IV of_Hesse","",M,"Grand Duke","1837",,"1892",
23,"Helena Frederica of_Waldeck","",F,"Princess","17 FEB 1861","Arolsen","1 SEP 1922","Tyrol"
24,"Alice of_Athlone","",F,"Princess","1883",,"JAN 1981",
25,"Henry Maurice of_Battenberg","",M,"Prince","1858",,"1896",
26,"Alexander of_Carisbrooke","",M,"Marquess","1886",,"23 FEB 1960",
27,"Victoria Eugenie "Ena"","",F,"Queen of Spain","1887",,"1969","Lausanne"
28,"Leopold","",M,,"1889",,"1922",
29,"Maurice","",M,"Prince","1891",,"1914",
30,"Mary_of_Teck (May)","",F,"Queen","26 MAY 1867","Kensington,Palace,London,England","24 MAR 1953","Marlborough Hse,London,England"
31,"Edward_VIII","Windsor",M,"Duke of Windsor","23 JUN 1894","White Lodge,Richmond Park,Surrey,England","28 MAY 1972","Paris,,,France"
32,"George_VI","Windsor",M,"King of England","14 DEC 1895","York Cottage,Sandringham,Norfolk,England","6 FEB 1952","Sandringham,Norfolk,England"
